"name","expression","formatString","displayFolder","sourceFile","table"
"Total Billings","SUM(Fact_Pallet_Ending[Billings])","General Number","","Fact_Pallet_Ending.tmdl","Fact_Pallet_Ending"
"Total Depletions","SUM(Fact_Pallet_Ending[Depletions])","General Number","","Fact_Pallet_Ending.tmdl","Fact_Pallet_Ending"
"Total DC Inventory","SUM(Fact_Pallet_Ending[DC Ending Inventory])","0","","Fact_Pallet_Ending.tmdl","Fact_Pallet_Ending"
"Total Distributor Inventory","SUM(Fact_Pallet_Ending[Distributor Ending Inventory])","General Number","","Fact_Pallet_Ending.tmdl","Fact_Pallet_Ending"
"Total Full Inventory","[Total DC Inventory]+[Total Distributor Inventory]+Sum(Fact_Pallet_Ending[Ending In-Transit])","General Number","","Fact_Pallet_Ending.tmdl","Fact_Pallet_Ending"
"Billings YoY","CALCULATE([Total Billings], SAMEPERIODLASTYEAR(DimDate[Date]))","General Number","","Fact_Pallet_Ending.tmdl","Fact_Pallet_Ending"
"Billings LTM","CALCULATE([Total Billings], DATESINPERIOD(DimDate[Date], MAX(DimDate[Date]), -12, MONTH))","General Number","","Fact_Pallet_Ending.tmdl","Fact_Pallet_Ending"
"Billings Rolling 12","CALCULATE([Total Billings], DATESINPERIOD(DimDate[Date], MAX(DimDate[Date]), -12, MONTH))","0.00","","Fact_Pallet_Ending.tmdl","Fact_Pallet_Ending"
"Full Inventory PY","CALCULATE([Total Full Inventory], FILTER(ALL(DimDate), DimDate[Year] = MAX(DimDate[Year]) - 1 && DimDate[MonthNum] = MAX(DimDate[MonthNum])))","General Number","","Fact_Pallet_Ending.tmdl","Fact_Pallet_Ending"
"Inventory YOY","[Total Full Inventory]-[Full Inventory PY]","General Number","","Fact_Pallet_Ending.tmdl","Fact_Pallet_Ending"
"Depletions Rolling 12","CALCULATE([Total Depletions], DATESINPERIOD(DimDate[Date], MAX(DimDate[Date]), -12, MONTH))","General Number","","Fact_Pallet_Ending.tmdl","Fact_Pallet_Ending"
"DC Inventory PY","CALCULATE([Total DC Inventory], FILTER(ALL(DimDate), DimDate[Year] = MAX(DimDate[Year]) - 1 && DimDate[MonthNum] = MAX(DimDate[MonthNum])))","General Number","","Fact_Pallet_Ending.tmdl","Fact_Pallet_Ending"
"DC Inventory YOY","[Total DC Inventory]-[DC Inventory PY]","0","","Fact_Pallet_Ending.tmdl","Fact_Pallet_Ending"
"DC YoY%","DIVIDE([DC Inventory YOY],[DC Inventory PY])","0.0%;-0.0%;0.0%","","Fact_Pallet_Ending.tmdl","Fact_Pallet_Ending"
"Inventory Coverage Months (DC)","Divide([Total DC Inventory],[Next Month Billings])","0.0","","Fact_Pallet_Ending.tmdl","Fact_Pallet_Ending"
"Inventory Coverage Months (Dist)","Divide([Total Distributor Inventory],[Next Month Depletions])","General Number","","Fact_Pallet_Ending.tmdl","Fact_Pallet_Ending"
"Total Billings (Plts)","SUM(Fact_Pallet_Ending[Billings_PLT])","General Number","","Fact_Pallet_Ending.tmdl","Fact_Pallet_Ending"
"Total Depletions (Plts)","SUM(Fact_Pallet_Ending[Depletions_PLT])","General Number","","Fact_Pallet_Ending.tmdl","Fact_Pallet_Ending"
"Total DC Inventory (Plts)","SUM(Fact_Pallet_Ending[DC Ending Inventory_PLT])","General Number","","Fact_Pallet_Ending.tmdl","Fact_Pallet_Ending"
"Total Distributor Inventory (Plts)","SUM(Fact_Pallet_Ending[Distributor Ending Inventory_PLT])","General Number","","Fact_Pallet_Ending.tmdl","Fact_Pallet_Ending"
"Total Full Inventory (Plts)","[Total DC Inventory (Plts)]+[Total Distributor Inventory (Plts)]+Sum(Fact_Pallet_Ending[Ending In-Transit_PLT])","General Number","","Fact_Pallet_Ending.tmdl","Fact_Pallet_Ending"
"DC Inventory PY (Plts)","CALCULATE([Total DC Inventory (Plts)], FILTER(ALL(DimDate), DimDate[Year] = MAX(DimDate[Year]) - 1 && DimDate[MonthNum] = MAX(DimDate[MonthNum])))","General Number","","Fact_Pallet_Ending.tmdl","Fact_Pallet_Ending"
"Inventory Coverage Months (DC:Plts)","Divide([Total DC Inventory (Plts)],[Next Month Billings (Plts)])","General Number","","Fact_Pallet_Ending.tmdl","Fact_Pallet_Ending"
"Inventory Coverage Months (Dist:Plts)","Divide([Total Distributor Inventory (Plts)],[Next Month Depletions (Plts)])","General Number","","Fact_Pallet_Ending.tmdl","Fact_Pallet_Ending"
"Depletions Rolling 12 (Plts)","CALCULATE([Total Depletions (Plts)], DATESINPERIOD(DimDate[Date], MAX(DimDate[Date]), -12, MONTH))","General Number","","Fact_Pallet_Ending.tmdl","Fact_Pallet_Ending"
"Billings Rolling 12 (Plts)","CALCULATE([Total Billings (Plts)], DATESINPERIOD(DimDate[Date], MAX(DimDate[Date]), -12, MONTH))","0.00","","Fact_Pallet_Ending.tmdl","Fact_Pallet_Ending"
"Billings Rolling 12 Prior Month (Plts)","CALCULATE([Billings Rolling 12 (Plts)], DATEADD(DimDate[Date], -1, MONTH))","General Number","","Fact_Pallet_Ending.tmdl","Fact_Pallet_Ending"
"Billings Rolling 12 MoM % (Plts)","DIVIDE(([Billings Rolling 12 (Plts)]-[Billings Rolling 12 Prior Month (Plts)]),[Billings Rolling 12 Prior Month (Plts)])","0.0%;-0.0%;0.0%","","Fact_Pallet_Ending.tmdl","Fact_Pallet_Ending"
"Billings Rolling 12 Prior Month","CALCULATE([Billings Rolling 12], DATEADD(DimDate[Date], -1, MONTH))","General Number","","Fact_Pallet_Ending.tmdl","Fact_Pallet_Ending"
"Billings Rolling 12 MoM %","DIVIDE(([Billings Rolling 12]-[Billings Rolling 12 Prior Month]),[Billings Rolling 12 Prior Month])","0.0%;-0.0%;0.0%","","Fact_Pallet_Ending.tmdl","Fact_Pallet_Ending"
"Depletions Rolling 12 Prior Month","CALCULATE([Depletions Rolling 12], DATEADD(DimDate[Date], -1, MONTH))","General Number","","Fact_Pallet_Ending.tmdl","Fact_Pallet_Ending"
"Depletions Rolling 12 MoM %","DIVIDE(([Depletions Rolling 12]-[Depletions Rolling 12 Prior Month]),[Depletions Rolling 12 Prior Month])","0.0%;-0.0%;0.0%","","Fact_Pallet_Ending.tmdl","Fact_Pallet_Ending"
"Depletions Rolling 12 Prior Month (Plts)","CALCULATE([Depletions Rolling 12 (Plts)], DATEADD(DimDate[Date], -1, MONTH))","General Number","","Fact_Pallet_Ending.tmdl","Fact_Pallet_Ending"
"Depletions Rolling 12 MoM % (Plts)","DIVIDE(([Depletions Rolling 12 (Plts)]-[Depletions Rolling 12 Prior Month (Plts)]),[Depletions Rolling 12 Prior Month (Plts)])","0.00%;-0.00%;0.00%","","Fact_Pallet_Ending.tmdl","Fact_Pallet_Ending"
"Depletions LTM","CALCULATE([Total Depletions], DATESINPERIOD(DimDate[Date], MAX(DimDate[Date]), -12, MONTH))","General Number","","Fact_Pallet_Ending.tmdl","Fact_Pallet_Ending"
"Inventory Coverage Months (Dist_current)","Divide([Total Distributor Inventory],[Total Depletions])","General Number","","Fact_Pallet_Ending.tmdl","Fact_Pallet_Ending"
"Inventory Coverage Months (DC_Current)","Divide([Total DC Inventory],[Total Billings])","General Number","","Fact_Pallet_Ending.tmdl","Fact_Pallet_Ending"
"Next Month Billings","CALCULATE([Total Billings], DATEADD(DimDate[Date], 1, MONTH))","General Number","","DimDate.tmdl","DimDate"
"Next Month Depletions","CALCULATE([Total Depletions], DATEADD(DimDate[Date], 1, MONTH))","General Number","","DimDate.tmdl","DimDate"
"Next Month Billings (Plts)","CALCULATE([Total Billings (Plts)], DATEADD(DimDate[Date], 1, MONTH))","General Number","","DimDate.tmdl","DimDate"
"Next Month Depletions (Plts)","CALCULATE([Total Depletions (Plts)], DATEADD(DimDate[Date], 1, MONTH))","General Number","","DimDate.tmdl","DimDate"
"CE per Plt (Billing)","(SUM(Fact_Pallet_Ending[Billing Onces])/SUM(Fact_Pallet_Ending[Billings_PLT]))/288","General Number","","DimDate.tmdl","DimDate"
"CE per Plt (Depletions)","(SUM(Fact_Pallet_Ending[Depletion Onces])/SUM(Fact_Pallet_Ending[Depletions_PLT]))/288","General Number","","DimDate.tmdl","DimDate"
